Ref,Val,Package,PosX,PosY,Rot,Side
"","","",161.250000,-101.150000,0.000000,top
"","","",163.800000,-99.875000,0.000000,top
"","","",163.800000,-102.425000,0.000000,top
"","","",161.250000,-99.875000,0.000000,top
"","","",162.525000,-101.150000,0.000000,top
"","","",163.800000,-101.150000,0.000000,top
"","","",162.525000,-99.875000,0.000000,top
"","","",161.250000,-102.425000,0.000000,top
"","","",162.525000,-102.425000,0.000000,top
"C1","10u","C_0805_2012Metric",132.300000,-104.350000,90.000000,top
"C2","10u","C_0805_2012Metric",144.400000,-105.250000,90.000000,top
"C3","100n","C_0402_1005Metric",160.400000,-105.950000,0.000000,top
"C4","100n","C_0402_1005Metric",164.025000,-105.950000,0.000000,top
"C5","100n","C_0402_1005Metric",168.050000,-100.850000,0.000000,top
"C6","100n","C_0402_1005Metric",163.550000,-95.875000,90.000000,top
"C7","100n","C_0402_1005Metric",161.140000,-95.880000,90.000000,top
"C8","100n","C_0402_1005Metric",159.040000,-95.880000,90.000000,top
"C9","100n","C_0402_1005Metric",154.600000,-98.700000,180.000000,top
"C10","1u","C_0402_1005Metric",160.090000,-95.880000,90.000000,top
"C11","100n","C_0402_1005Metric",168.050000,-99.750000,0.000000,top
"C12","100n","C_0402_1005Metric",154.600000,-99.800000,180.000000,top
"C13","1u","C_0402_1005Metric",157.990000,-95.880000,90.000000,top
"C14","100n","C_0402_1005Metric",146.300000,-106.100000,90.000000,top
"C15","15p","C_0402_1005Metric",171.830000,-99.650000,0.000000,top
"C16","15p","C_0402_1005Metric",168.550000,-95.820000,90.000000,top
"HSE1","12MHz","Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",170.950000,-96.850000,90.000000,top
"J1","USB-A","MOLEX_48037-0001",127.300000,-101.100000,-90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",170.970000,-102.875000,0.000000,top
"R1","1k","R_0402_1005Metric",167.170000,-106.160000,-90.000000,top
"R2","27","R_0402_1005Metric",156.000000,-96.000000,0.000000,top
"R3","27","R_0402_1005Metric",156.000000,-97.100000,0.000000,top
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",138.550000,-103.500000,0.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",152.100000,-104.500000,180.000000,top
"U3","RP2040","QFN40P700X700X90-57N",162.535000,-101.150000,90.000000,top
